,PMID,Title,Pub types,Author,Affiliations
29,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - René A J Janssen,"Molecular Materials and Nanosystems, Eindhoven University of Technology, Eindhoven, The Netherlands.|Institute for Complex Molecular Systems, Eindhoven University of Technology, Eindhoven, The Netherlands.|Dutch Institute for Fundamental Energy Research, Eindhoven, The Netherlands."
30,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Atsushi Wakamiya,"Institute for Chemical Research, Kyoto University, Gokasho Uji-city, Kyoto, Japan. wakamiya@scl.kyoto-u.ac.jp."
31,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Henry J Snaith,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK. henry.snaith@physics.ox.ac.uk."
32,39715626,Total synthesis of 25 picrotoxanes by virtual library selection.,,  - Chunyu Li,"Department of Chemistry, Scripps Research, La Jolla, CA, USA.|Graduate School of Chemical and Biological Sciences, Scripps Research, La Jolla, CA, USA."
33,39715626,Total synthesis of 25 picrotoxanes by virtual library selection.,,  - Ryan A Shenvi,"Department of Chemistry, Scripps Research, La Jolla, CA, USA. rshenvi@scripps.edu.|Graduate School of Chemical and Biological Sciences, Scripps Research, La Jolla, CA, USA. rshenvi@scripps.edu."
34,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Shuhui Cai,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China. caishuhui@mail.iggcas.ac.cn.|College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China. caishuhui@mail.iggcas.ac.cn."
35,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Kaixian Qi,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China.|College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China."
36,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Saihong Yang,"Key Laboratory of Lunar and Deep Space Exploration, National Astronomical Observatories, Chinese Academy of Sciences, Beijing, China."
37,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Jie Fang,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China.|College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China."
38,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Pingyuan Shi,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China.|College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China."
39,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Zhongshan Shen,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China."
40,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Min Zhang,"Key Laboratory of Earth and Planetary Physics, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China."
41,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Huafeng Qin,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China.|College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China."
42,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Chi Zhang,"Key Laboratory of Earth and Planetary Physics, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China."
43,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Xiaoguang Li,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China."
44,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Fangfang Chen,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China.|College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China."
45,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Yi Chen,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China.|College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China."
46,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Jinhua Li,"College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China.|Key Laboratory of Earth and Planetary Physics, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China."
47,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Huaiyu He,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China.|College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China."
48,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Chenglong Deng,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China.|College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China."
49,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Chunlai Li,"Key Laboratory of Lunar and Deep Space Exploration, National Astronomical Observatories, Chinese Academy of Sciences, Beijing, China."
50,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Yongxin Pan,"College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing, China.|Key Laboratory of Earth and Planetary Physics, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China."
51,39701132,A reinforced lunar dynamo recorded by Chang'e-6 farside basalt.,,  - Rixiang Zhu,"State Key Laboratory of Lithospheric and Environmental Coevolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China."
52,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Eun Kyo Ko,"Stanford Institute for Materials and Energy Sciences, SLAC National Accelerator Laboratory, Menlo Park, CA, USA. eunkyoko@stanford.edu.|Department of Applied Physics, Stanford University, Stanford, CA, USA. eunkyoko@stanford.edu."
53,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Yijun Yu,"Stanford Institute for Materials and Energy Sciences, SLAC National Accelerator Laboratory, Menlo Park, CA, USA. yuyijun@stanford.edu.|Department of Applied Physics, Stanford University, Stanford, CA, USA. yuyijun@stanford.edu."
54,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Yidi Liu,"Stanford Institute for Materials and Energy Sciences, SLAC National Accelerator Laboratory, Menlo Park, CA, USA.|Department of Physics, Stanford University, Stanford, CA, USA."
55,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Lopa Bhatt,"School of Applied and Engineering Physics, Cornell University, Ithaca, NY, USA."
56,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Jiarui Li,"Stanford Institute for Materials and Energy Sciences, SLAC National Accelerator Laboratory, Menlo Park, CA, USA.|Department of Applied Physics, Stanford University, Stanford, CA, USA."
57,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Vivek Thampy,"Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, Menlo Park, CA, USA."
58,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Cheng-Tai Kuo,"Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, Menlo Park, CA, USA."
59,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Bai Yang Wang,"Stanford Institute for Materials and Energy Sciences, SLAC National Accelerator Laboratory, Menlo Park, CA, USA.|Department of Physics, Stanford University, Stanford, CA, USA."
60,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Yonghun Lee,"Stanford Institute for Materials and Energy Sciences, SLAC National Accelerator Laboratory, Menlo Park, CA, USA.|Department of Applied Physics, Stanford University, Stanford, CA, USA."
61,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Kyuho Lee,"Stanford Institute for Materials and Energy Sciences, SLAC National Accelerator Laboratory, Menlo Park, CA, USA.|Department of Physics, Stanford University, Stanford, CA, USA."
62,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Jun-Sik Lee,"Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, Menlo Park, CA, USA."
63,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Berit H Goodge,"Max Planck Institute for Chemical Physics of Solids, Dresden, Germany."
64,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - David A Muller,"School of Applied and Engineering Physics, Cornell University, Ithaca, NY, USA.|Kavli Institute at Cornell for Nanoscale Technology, Cornell University, Ithaca, NY, USA."
65,39701131,Signatures of ambient pressure superconductivity in thin film La<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub>.,,  - Harold Y Hwang,"Stanford Institute for Materials and Energy Sciences, SLAC National Accelerator Laboratory, Menlo Park, CA, USA. hyhwang@stanford.edu.|Department of Applied Physics, Stanford University, Stanford, CA, USA. hyhwang@stanford.edu."
66,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Qi Qu,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
67,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Yan Chen,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
68,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Yu Wang,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
69,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Weiche Wang,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
70,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Shating Long,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
71,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Heng-Ye Yang,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
72,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Jianfeng Wu,"Laboratory Animal Research Centre, Xiamen University, Xiamen, China."
73,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Mengqi Li,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
74,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Xiao Tian,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
75,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Xiaoyan Wei,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
76,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Yan-Hui Liu,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
77,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Shengrong Xu,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
78,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Jinye Xiong,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
79,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Chunyan Yang,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
80,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Zhenhua Wu,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
81,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Xi Huang,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
82,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Changchuan Xie,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
83,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Yaying Wu,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
84,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Zheni Xu,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
85,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Cixiong Zhang,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
86,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Baoding Zhang,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
87,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Jin-Wei Feng,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
88,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Junjie Chen,"Analysis and Measurement Centre, School of Pharmaceutical Sciences, Xiamen University, Xiamen, China."
89,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Yuanji Feng,"State Key Laboratory of Physical Chemistry of Solid Surfaces, College of Chemistry and Chemical Engineering, Xiamen University, Xiamen, China."
90,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Huapan Fang,"State Key Laboratory of Physical Chemistry of Solid Surfaces, College of Chemistry and Chemical Engineering, Xiamen University, Xiamen, China."
91,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Liyun Lin,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
92,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Z K Xie,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
93,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Beibei Sun,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
94,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Huayu Tian,"State Key Laboratory of Physical Chemistry of Solid Surfaces, College of Chemistry and Chemical Engineering, Xiamen University, Xiamen, China."
95,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Yong Yu,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
96,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Hai-Long Piao,"CAS Key Laboratory of Separation Science for Analytical Chemistry, Dalian Institute of Chemical Physics, Chinese Academy of Sciences, Dalian, China."
97,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Xiao-Song Xie,"McDermott Center of Human Growth and Development, University of Texas Southwestern Medical Center, Dallas, TX, USA."
98,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Xianming Deng,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China."
99,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Chen-Song Zhang,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China. cszhang@xmu.edu.cn."
100,39695235,Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,,  - Sheng-Cai Lin,"State Key Laboratory for Cellular Stress Biology, School of Life Sciences, Xiamen University, Xiamen, China. linsc@xmu.edu.cn."
101,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - Eric D Sun,"Biomedical Data Science Graduate Program, Stanford University, Stanford, CA, USA.|Department of Biomedical Data Science, Stanford University, Stanford, CA, USA.|Department of Genetics, Stanford University, Stanford, CA, USA."
102,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - Olivia Y Zhou,"Department of Genetics, Stanford University, Stanford, CA, USA.|Biophysics Graduate Program, Stanford University, Stanford, CA, USA.|Medical Scientist Training Program, Stanford University, Stanford, CA, USA."
103,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - Max Hauptschein,"Department of Genetics, Stanford University, Stanford, CA, USA."
104,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - Nimrod Rappoport,"Department of Genetics, Stanford University, Stanford, CA, USA."
105,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - Lucy Xu,"Department of Genetics, Stanford University, Stanford, CA, USA.|Biology Graduate Program, Stanford University, Stanford, CA, USA."
106,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - Paloma Navarro Negredo,"Department of Genetics, Stanford University, Stanford, CA, USA."
107,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - Ling Liu,"Department of Neurology, Stanford University, Stanford, CA, USA.|Department of Neurology, UCLA, Los Angeles, CA, USA.|Eli and Edythe Broad Center for Regenerative Medicine and Stem Cell Biology, UCLA, Los Angeles, CA, USA."
108,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - Thomas A Rando,"Department of Neurology, Stanford University, Stanford, CA, USA.|Department of Neurology, UCLA, Los Angeles, CA, USA.|Eli and Edythe Broad Center for Regenerative Medicine and Stem Cell Biology, UCLA, Los Angeles, CA, USA."
109,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - James Zou,"Department of Biomedical Data Science, Stanford University, Stanford, CA, USA. jamesz@stanford.edu."
110,39695234,Spatial transcriptomic clocks reveal cell proximity effects in brain ageing.,,  - Anne Brunet,"Department of Genetics, Stanford University, Stanford, CA, USA. abrunet1@stanford.edu.|Glenn Center for the Biology of Aging, Stanford University, Stanford, CA, USA. abrunet1@stanford.edu.|Wu Tsai Neurosciences Institute, Stanford University, Stanford, CA, USA. abrunet1@stanford.edu.|The Phil & Penny Knight Initiative for Brain Resilience at the Wu Tsai Neurosciences Institute, Stanford University, Stanford, CA, USA. abrunet1@stanford.edu."
111,39695233,Timely TGFβ signalling inhibition induces notochord.,,  - Tiago Rito,"The Francis Crick Institute, London, UK. tiago.rito@crick.ac.uk."
112,39695233,Timely TGFβ signalling inhibition induces notochord.,,  - Ashley R G Libby,"The Francis Crick Institute, London, UK."
113,39695233,Timely TGFβ signalling inhibition induces notochord.,,  - Madeleine Demuth,"The Francis Crick Institute, London, UK."
114,39695233,Timely TGFβ signalling inhibition induces notochord.,,  - Marie-Charlotte Domart,"The Francis Crick Institute, London, UK."
115,39695233,Timely TGFβ signalling inhibition induces notochord.,,  - Jake Cornwall-Scoones,"The Francis Crick Institute, London, UK."
116,39695233,Timely TGFβ signalling inhibition induces notochord.,,  - James Briscoe,"The Francis Crick Institute, London, UK. james.briscoe@crick.ac.uk."
117,39695232,Synaptic basis of feature selectivity in hippocampal neurons.,,  - Kevin C Gonzalez,"Department of Neuroscience, Columbia University, New York, NY, USA.|Mortimer B. Zuckerman Mind Brain Behavior Institute, Columbia University, New York, NY, USA."
118,39695232,Synaptic basis of feature selectivity in hippocampal neurons.,,  - Adrian Negrean,"Department of Neuroscience, Columbia University, New York, NY, USA.|Mortimer B. Zuckerman Mind Brain Behavior Institute, Columbia University, New York, NY, USA.|Allen Brain Institute, Seattle, WA, USA."
119,39695232,Synaptic basis of feature selectivity in hippocampal neurons.,,  - Zhenrui Liao,"Department of Neuroscience, Columbia University, New York, NY, USA.|Mortimer B. Zuckerman Mind Brain Behavior Institute, Columbia University, New York, NY, USA."
120,39695232,Synaptic basis of feature selectivity in hippocampal neurons.,,  - Satoshi Terada,"Department of Neuroscience, Columbia University, New York, NY, USA.|Mortimer B. Zuckerman Mind Brain Behavior Institute, Columbia University, New York, NY, USA."
121,39695232,Synaptic basis of feature selectivity in hippocampal neurons.,,  - Guofeng Zhang,"Department of Neurobiology, Stanford University, Stanford, CA, USA.|Department of Neurosurgery, The First Affiliated Hospital, Sun Yat-sen University, Guangdong, China."
122,39695232,Synaptic basis of feature selectivity in hippocampal neurons.,,  - Sungmoo Lee,"Department of Neurobiology, Stanford University, Stanford, CA, USA."
123,39695232,Synaptic basis of feature selectivity in hippocampal neurons.,,  - Katalin Ócsai,"BrainVisionCenter, Budapest, Hungary.|Department of Algebra and Geometry, Institute of Mathematics, Budapest University of Technology and Economics, Budapest, Hungary."
